State,County FIPS Code,County or Equivalent,Seat
Alabama,1001,Autauga County,Prattville
Alabama,1003,Baldwin County,Bay Minette
Alabama,1005,Barbour County,Clayton
Alabama,1007,Bibb County,Centreville
Alabama,1009,Blount County,Oneonta
Alabama,1011,Bullock County,Union Springs
Alabama,1013,Butler County,Greenville
Alabama,1015,Calhoun County,Anniston
Alabama,1017,Chambers County,LaFayette
Alabama,1019,Cherokee County,Centre
Alabama,1021,Chilton County,Clanton
Alabama,1023,Choctaw County,Butler
Alabama,1025,Clarke County,Grove Hill
Alabama,1027,Clay County,Ashland
Alabama,1029,Cleburne County,Heflin
Alabama,1031,Coffee County,Elba
Alabama,1033,Colbert County,Tuscumbia
Alabama,1035,Conecuh County,Evergreen
Alabama,1037,Coosa County,Rockford
Alabama,1039,Covington County,Andalusia
Alabama,1041,Crenshaw County,Luverne
Alabama,1043,Cullman County,Cullman
Alabama,1045,Dale County,Ozark
Alabama,1047,Dallas County,Selma
Alabama,1049,DeKalb County,Fort Payne
Alabama,1051,Elmore County,Wetumpka
Alabama,1053,Escambia County,Brewton
Alabama,1053,Escambia County,Brewton
Alabama,1055,Etowah County,Gadsden
Alabama,1057,Fayette County,Fayette
Alabama,1059,Franklin County,Russellville
Alabama,1061,Geneva County,Geneva
Alabama,1063,Greene County,Eutaw
Alabama,1065,Hale County,Greensboro
Alabama,1067,Henry County,Abbeville
Alabama,1069,Houston County,Dothan
Alabama,1071,Jackson County,Scottsboro
Alabama,1073,Jefferson County,Birmingham
Alabama,1075,Lamar County,Vernon
Alabama,1077,Lauderdale County,Florence
Alabama,1079,Lawrence County,Moulton
Alabama,1081,Lee County,Opelika
Alabama,1083,Limestone County,Athens
Alabama,1085,Lowndes County,Hayneville
Alabama,1087,Macon County,Tuskegee
Alabama,1089,Madison County,Huntsville
Alabama,1091,Marengo County,Linden
Alabama,1093,Marion County,Hamilton
Alabama,1095,Marshall County,Guntersville
Alabama,1097,Mobile County,Mobile
Alabama,1099,Monroe County,Monroeville
Alabama,1101,Montgomery County,Montgomery
Alabama,1103,Morgan County,Decatur
Alabama,1105,Perry County,Marion
Alabama,1107,Pickens County,Carrollton
Alabama,1109,Pike County,Troy
Alabama,1111,Randolph County,Wedowee
Alabama,1113,Russell County,Phenix City
Alabama,1117,Shelby County,Columbiana
Alabama,1115,St. Clair County,Ashville
Alabama,1119,Sumter County,Livingston
Alabama,1121,Talladega County,Talladega
Alabama,1123,Tallapoosa County,Dadeville
Alabama,1125,Tuscaloosa County,Tuscaloosa
Alabama,1127,Walker County,Jasper
Alabama,1129,Washington County,Chatom
Alabama,1131,Wilcox County,Camden
Alabama,1133,Winston County,Double Springs
Alaska,2013,Aleutians East Borough,Sand Point
Alaska,2020,Anchorage,Anchorage
Alaska,2060,Bristol Bay Borough,Naknek
Alaska,2068,Denali Borough,Healy
Alaska,2090,Fairbanks North Star Borough,Fairbanks
Alaska,2100,Haines Borough,Haines
Alaska,2122,Kenai Peninsula Borough,Soldotna
Alaska,2130,Ketchikan Gateway Borough,Ketchikan
Alaska,2150,Kodiak Island Borough,Kodiak
Alaska,2164,Lake and Peninsula Borough,King Salmon
Alaska,2170,Matanuska-Susitna Borough,Palmer
Alaska,2185,North Slope Borough,Utqiagvik
Alaska,2188,Northwest Arctic Borough,Kotzebue
Alaska,2220,Sitka Borough,Sitka
Alaska,2230,Skagway,Skagway
Alaska,2275,Wrangell Borough,Wrangel
Alaska,2282,Yakutat Borough,Yakutat
Arizona,4001,Apache County,St. Johns
Arizona,4003,Cochise County,Bisbee
Arizona,4005,Coconino County,Flagstaff
Arizona,4007,Gila County,Globe
Arizona,4009,Graham County,Safford
Arizona,4011,Greenlee County,Clifton
Arizona,4012,La Paz County,Parker
Arizona,4013,Maricopa County,Phoenix
Arizona,4015,Mohave County,Kingman
Arizona,4017,Navajo County,Holbrook
Arizona,4019,Pima County,Tucson
Arizona,4021,Pinal County,Florence
Arizona,4023,Santa Cruz County,Nogales
Arizona,4025,Yavapai County,Prescott
Arizona,4027,Yuma County,Yuma
Arkansas,5001,Arkansas County,DeWitt
Arkansas,5003,Ashley County,Hamburg
Arkansas,5005,Baxter County,Mountain Home
Arkansas,5007,Benton County,Bentonville
Arkansas,5009,Boone County,Harrison
Arkansas,5011,Bradley County,Warren
Arkansas,5013,Calhoun County,Hampton
Arkansas,5015,Carroll County,Berryville
Arkansas,5017,Chicot County,Lake Village
